ID Nuevo,Año,Mes,Día,lat,long,Geocode,Departamento INEI,Provincia INEI,Distrito INEI,Centro poblado INEI,Categoría centro poblado INEI,Casco Urbano,Zona Rural,Tipo de Centro Poblado no INEI,Nombre Centro Poblado no INEI,Precedencia,Iniciativa 1,Iniciativa 2,Iniciativa 3,FF.MM.   - 1-,Policía    -2-,CAD        -3-,Rondas Campesinas         -10-,PCP-SL     -15-,PCP-BR     -16-,MRTA      -17-,Otros Guerrilleros no Id.               -18-,Otros Paramilitares no Id.                          -19-,Grupos estatales no Id.                       -20-,No identificado            -21-,Otros         -22-,Milicias     -23-,Grupo 1 Método 1,Grupo 1 Método 2,Grupo 2 Método 1,Grupo 2 Método 2,Grupo 3 Método 1,Grupo 3 Método 2,Grupo 4 Método 1,Grupo 4 Método 2,Código grupo responsable 1,Código grupo responsable 2,Código grupo responsable 3,Tipo de acción bélica 1,Método 1,Código grupo responsable 1,Código grupo responsable 2,Código grupo responsable 3,Tipo de acción bélica 2,Método 2,Código grupo responsable 1,Código grupo responsable 2,Código grupo responsable 3,Tipo de acción bélica 3,Método 3,Código grupo responsable 1,Código grupo responsable 2,Tipo de acción bélica 4,Método 4,Código grupo responsable 1,Código grupo responsable 2,Tipo de acción bélica 5,Método 5,No está descrito el método del ataque  ,Código Grupo,Muertos,Heridos,detenido,Retenidos,Código Grupo,Muertos,Heridos,detenidos,Retenidos,Código Grupo,Muertos,Heridos,Detenidos,Retenidos,Código Grupo,Muertos,Heridos,Detenidos,Retenidos,Número testimonio,Fuente 1,Tomo,Página,Fecha (dd/mm/aa),Nota Magnética 1,Fuente(s) Primaria(s) 1,Notas,Dummie Revisión,Notas Revisión
01258,1980,,,,,PE,HUANCAVELICA,ANGARAES,CHINCHO,CHINCHO,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Acción ofensiva  a Objetivos civiles Civiles  ,,,,,,,,,,,,,,,,24,1,1,,,,,,,,,,,,,,,,,,,100657,Comisión de la Verdad Informe Final,XVI,135,,,,,
01978,1980,11,,,,PE,APURIMAC,ABANCAY,ABANCAY,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Registro y control,,,,,,,,,,,,,,,,,,,,,24,,,1,,,,,,,,,,,,,,,,,,500068,Comisión de la Verdad Informe Final,XVII,3,,,,,
02112,1980,,,,,PE,APURIMAC,ABANCAY,CIRCA,OCOBAMABA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Registro y control,,,,,,,,,,,,,,,,,,,,,24,,,1,,,,,,,,,,,,,,,,,Entre 01/05/1980 y 30/11/2000. El detenido fue torturado,500630,Comisión de la Verdad Informe Final,XVII,42,,,,,
02113,1980,,,,,PE,APURIMAC,ANDAHUAYLAS,ANDARAPA,HUANCAS,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,Varios fueron asesinados,202406,Comisión de la Verdad Informe Final,XVII,42,,,,,
02242,1980,,,,,PE,APURIMAC,ANDAHUAYLAS,TURPO,TURPO,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,Armamentos Armas blancas  ,,,,,,,,,,,,,,,,,,,,24,3,,,,,,,,,,,,,,,,,,,Entre 1980-2000,202468,Comisión de la Verdad Informe Final,XVII,80,,,,,
02244,1980,,,,,PE,APURIMAC,ANDAHUAYLAS,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Registro y control,,,,,,,,,,,,,,,,,,,,,24,,,1,,,,,,,,,,,,,,,,,Entre 1980 y abril de 1983,100026,Comisión de la Verdad Informe Final,XVII,80,,,,,
02245,1980,,,,,PE,APURIMAC,ANTABAMBA,OROPESA,SONCOCOCHA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Masacre,Petardo lanzavolantes Arma de Fuego  ,,,,,,,,,,,,,,,24,5,,,,,,,,,,,,,,,,,,,,500439,Comisión de la Verdad Informe Final,XVII,81,,,,,
02312,1980,,,,,PE,APURIMAC,ANTABAMBA,PACHACONAS,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,Entre 30/05/80 y 1990,101534,Comisión de la Verdad Informe Final,XVII,100,,,,,
02495,1980,,,,,PE,APURIMAC,AYMARAES,CHAPIMARCA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Acción ofensiva  a Objetivos civiles Civiles  ,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,Entre 1980-2000,500103,Comisión de la Verdad Informe Final,XVII,151,,,,,
02496,1980,,,,,PE,APURIMAC,AYMARAES,CHALHUANCA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos militares o de policía  Patrulla  ,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,Entre 1980-2000,500103,Comisión de la Verdad Informe Final,XVII,151,,,,,
