

Series Id,Year,Period,Value
CUUR0000SA0,1913,M01,9.8
CUUR0000SA0,1913,M02,9.8
CUUR0000SA0,1913,M03,9.8
CUUR0000SA0,1913,M04,9.8
CUUR0000SA0,1913,M05,9.7
CUUR0000SA0,1913,M06,9.8
CUUR0000SA0,1913,M07,9.9
CUUR0000SA0,1913,M08,9.9
CUUR0000SA0,1913,M09,10.0
CUUR0000SA0,1913,M10,10.0
CUUR0000SA0,1913,M11,10.1
CUUR0000SA0,1913,M12,10.0
CUUR0000SA0,1914,M01,10.0
CUUR0000SA0,1914,M02,9.9
CUUR0000SA0,1914,M03,9.9
CUUR0000SA0,1914,M04,9.8
CUUR0000SA0,1914,M05,9.9
CUUR0000SA0,1914,M06,9.9
CUUR0000SA0,1914,M07,10.0
CUUR0000SA0,1914,M08,10.2
CUUR0000SA0,1914,M09,10.2
CUUR0000SA0,1914,M10,10.1
CUUR0000SA0,1914,M11,10.2
CUUR0000SA0,1914,M12,10.1
CUUR0000SA0,1915,M01,10.1
CUUR0000SA0,1915,M02,10.0
CUUR0000SA0,1915,M03,9.9
CUUR0000SA0,1915,M04,10.0
CUUR0000SA0,1915,M05,10.1
CUUR0000SA0,1915,M06,10.1
CUUR0000SA0,1915,M07,10.1
CUUR0000SA0,1915,M08,10.1
CUUR0000SA0,1915,M09,10.1
CUUR0000SA0,1915,M10,10.2
CUUR0000SA0,1915,M11,10.3
CUUR0000SA0,1915,M12,10.3
CUUR0000SA0,1916,M01,10.4
CUUR0000SA0,1916,M02,10.4
CUUR0000SA0,1916,M03,10.5
CUUR0000SA0,1916,M04,10.6
CUUR0000SA0,1916,M05,10.7
CUUR0000SA0,1916,M06,10.8
CUUR0000SA0,1916,M07,10.8
CUUR0000SA0,1916,M08,10.9
CUUR0000SA0,1916,M09,11.1
CUUR0000SA0,1916,M10,11.3
CUUR0000SA0,1916,M11,11.5
CUUR0000SA0,1916,M12,11.6
CUUR0000SA0,1917,M01,11.7
CUUR0000SA0,1917,M02,12.0
CUUR0000SA0,1917,M03,12.0
CUUR0000SA0,1917,M04,12.6
CUUR0000SA0,1917,M05,12.8
CUUR0000SA0,1917,M06,13.0
CUUR0000SA0,1917,M07,12.8
CUUR0000SA0,1917,M08,13.0
CUUR0000SA0,1917,M09,13.3
CUUR0000SA0,1917,M10,13.5
CUUR0000SA0,1917,M11,13.5
CUUR0000SA0,1917,M12,13.7
CUUR0000SA0,1918,M01,14.0
CUUR0000SA0,1918,M02,14.1
CUUR0000SA0,1918,M03,14.0
CUUR0000SA0,1918,M04,14.2
CUUR0000SA0,1918,M05,14.5
CUUR0000SA0,1918,M06,14.7
CUUR0000SA0,1918,M07,15.1
CUUR0000SA0,1918,M08,15.4
CUUR0000SA0,1918,M09,15.7
CUUR0000SA0,1918,M10,16.0
