name,conflict,year,population,casualties,C_P,Z
UK,Russian Civil War,1918,41210063,1073,2.60373296192823E-05,0.4692677027
UK,Anglo-Irish War,1919,43270566,624,1.44208881928124E-05,0.4371366919
UK,Third Anglo-Afghan War,1919,45434095,1136,2.50032493697114E-05,0.4699065244
UK,Iraqi revolt against the British,1920,46342777,450,9.71025115331585E-06,0.4169182587
UK,Arab revolt in Palestine,1936,47269632,200,0.000004231,0.3705615872
UK,Operation Masterdom,1945,49179325,40,8.13349914296064E-07,0.2788606343
UK,Indonesian National Revolution,1945,50162912,1200,2.39220563028254E-05,0.4703735831
UK,Palestine Emergency,1945,51166170,784,1.53226242985418E-05,0.445868343
UK,Malayan Emergency,1948,52189493,519,9.9445303258093E-06,0.4221584267
UK,Yangtse River Incident,1949,53233283,46,8.64121037793698E-07,0.2854751348
UK,Korean War,1950,54297949,1109,2.04243442223617E-05,0.4638535719
UK,Cyprus Emergency,1955,55383908,387,6.98758925551546E-06,0.4042917802
UK,Suez Crisis (Operation Musketeer),1956,56491586,23,4.07140276832486E-07,0.245692363
UK,Indonesia-Malaysia confrontation,1962,57056502,16,2.80423780857502E-07,0.2252355115
UK,Dhofar Rebellion,1962,57570010,24,4.16883717825821E-07,0.2478141711
UK,Aden Emergency,1963,58088141,90,1.54936961530905E-06,0.3216241305
UK,Northern Ireland (Operation Banner),1969,58610934,2617,4.46503720214049E-05,0.5098725524
UK,Falklands War (Operation Corporate),1982,59138432,259,4.37955471961512E-06,0.3803685871
UK,Gulf War 1990Ð1991 (Operation Granby),1990,59670678,47,7.87656542170315E-07,0.2848561368
UK,Balkans - Bosnia/Kosovo,1992,60207714,72,1.19586004757739E-06,0.3085238038
UK,War on terror,2001,60749584,654,1.07655058792481E-05,0.4314812663
UK,Afghanistan (Operation Herrick),2001,61296330,546,8.9075479856664E-06,0.4212000792
UK,Iraq War (Operation Telic),2003,61847997,222,3.58944527243443E-06,0.3708262858
