YYYY, C_win, C_sum,  T_win,   T_sum,  T_year 
1757,7,7,-1,174,86
1758,5,6,18,163,94
1759,3,8,44,178,104
1760,7,4,-4,160,82
1761,3,5,41,163,97
1762,6,4,17,155,86
1763,8,4,-11,159,75
1764,3,5,45,162,95
1765,6,5,10,162,91
1766,6,5,7,161,88
1767,7,3,7,151,84
1768,6,5,4,163,85
1769,5,4,23,156,89
1770,4,5,30,160,90
1771,6,4,15,152,82
1772,5,5,23,165,93
1773,4,5,31,162,99
1774,4,5,31,163,98
1775,4,6,32,172,98
1776,7,6,8,170,90
1777,6,5,7,159,88
1778,6,8,4,180,92
1779,4,8,42,176,111
1780,6,7,10,171,97
1781,6,9,11,186,99
1782,5,6,17,167,88
1783,5,9,29,184,97
1784,8,5,-23,160,76
1785,7,5,-2,160,81
1786,6,4,8,157,80
1787,6,4,17,159,85
1788,5,7,26,171,94
1789,9,5,-19,159,73
1790,3,3,41,150,89
1791,4,4,35,154,91
1792,5,5,15,162,86
1793,5,4,27,158,88
1794,5,6,29,166,96
1795,8,4,-20,154,81
1796,3,5,53,159,98
1797,6,6,11,166,89
1798,4,6,34,169,99
1799,7,2,-18,147,70
1800,7,4,-10,151,84
1801,5,4,17,152,92
1802,6,4,11,153,86
1803,7,5,-12,160,77
1804,5,4,22,154,87
1805,7,2,-16,140,67
1806,5,4,28,154,86
1807,4,6,38,172,95
1808,6,7,16,171,86
1809,6,4,8,153,82
1810,6,3,9,149,81
1811,6,6,16,170,100
1812,4,4,33,153,91
1813,6,4,7,158,84
1814,7,4,-16,155,74
1815,6,4,14,153,91
1816,6,2,8,141,78
1817,4,4,38,158,87
1818,4,6,24,171,96
1819,4,7,28,172,99
1820,7,4,-7,151,79
1821,6,3,6,147,84
1822,2,6,49,170,107
1823,8,4,-22,152,79
1824,3,5,38,162,97
1825,3,5,45,162,101
1826,5,9,21,187,102
1827,6,5,10,160,92
1828,4,6,32,167,98
1829,7,4,5,154,82
1830,9,4,-31,155,76
1831,6,6,9,169,98
1832,5,4,19,155,89
1833,6,4,20,157,88
1834,2,8,52,179,108
1835,4,6,39,169,95
1836,5,4,23,156,90
1837,4,5,35,165,91
1838,8,4,-16,159,79
1839,5,5,26,161,88
1840,4,5,34,158,95
1841,7,5,-7,153,90
1842,5,7,18,172,95
1843,5,5,27,156,89
1844,4,3,32,150,94
1845,8,3,-18,156,72
1846,2,9,52,185,112
1847,7,5,-6,163,81
1848,7,5,2,160,92
1849,5,5,31,159,94
1850,6,4,9,159,82
1851,3,4,33,158,93
1852,4,7,35,174,91
1853,5,4,36,160,91
1854,6,4,3,159,84
1855,7,4,-6,161,78
1856,5,4,21,159,87
1857,6,8,24,182,97
1858,5,7,16,173,92
1859,4,9,38,184,100
1860,6,2,14,146,81
1861,6,6,9,172,88
1862,5,4,26,152,97
1863,2,4,47,156,97
1864,5,3,16,148,85
1865,7,6,1,159,89
1866,3,4,43,160,96
1867,4,5,39,157,94
1868,5,9,23,184,102
1869,4,4,49,153,95
1870,6,5,11,162,87
1871,7,5,-6,162,83
1872,5,7,27,172,94
1873,3,6,35,173,97
1874,4,6,35,164,98
1875,6,6,11,170,88
1876,6,6,16,170,90
1877,3,5,49,168,93
1878,3,5,36,164,99
1879,6,3,3,153,79
1880,7,6,2,167,87
1881,6,5,16,160,85
1882,3,3,31,151,95
1883,4,4,33,160,91
1884,2,7,46,168,102
1885,5,4,32,159,89
1886,6,5,8,158,87
1887,6,5,13,165,84
1888,6,3,3,151,77
1889,5,6,19,167,92
1890,5,3,14,150,87
1891,7,4,-14,155,80
1892,5,4,23,156,87
1893,6,6,12,170,97
1894,4,4,27,155,92
1895,7,5,0,164,89
1896,4,6,23,171,95
1897,5,6,16,173,90
1898,2,5,37,160,94
1899,4,6,45,171,96
1900,5,6,17,170,92
1901,6,6,14,167,92
1902,5,3,24,154,86
1903,5,3,31,151,91
1904,5,5,15,161,88
1905,4,6,30,170,91
1906,4,5,28,161,91
1907,6,2,9,143,86
1908,6,5,19,161,88
1909,6,3,8,148,82
1910,4,4,36,159,94
1911,3,8,35,176,97
1912,4,5,37,159,93
1913,3,3,37,148,95
1914,4,6,32,165,99
1915,3,4,38,156,90
1916,4,3,46,146,92
1917,7,7,1,171,85
1918,5,4,23,152,91
1919,5,3,27,148,85
1920,3,4,44,154,93
1921,5,6,38,166,100
1922,6,3,18,151,79
1923,3,5,39,154,93
1924,6,4,3,152,81
1925,4,6,41,166,95
1926,6,5,33,161,92
1927,3,4,32,157,95
1928,6,4,24,158,87
1929,7,5,-15,157,82
1930,3,6,38,169,98
1931,5,4,20,159,87
1932,5,7,29,171,95
1933,5,6,21,170,96
1934,6,6,12,166,93
1935,3,6,48,171,99
1936,3,5,32,166,96
1937,4,6,36,166,97
1938,4,6,30,165,94
1939,5,6,27,170,97
1940,7,4,-19,159,82
1941,6,6,-1,170,86
1942,8,5,-15,161,82
1943,4,5,38,161,100
1944,4,6,28,168,92
1945,4,6,23,167,101
1946,5,5,27,157,93
1947,8,9,-24,187,91
1948,4,5,41,161,101
1949,4,5,37,163,99
1950,4,6,36,172,98
1951,5,5,22,161,90
1952,3,5,31,165,97
1953,5,5,18,165,92
1954,6,3,18,151,92
1955,5,6,20,167,90
1956,7,3,2,144,83
1957,3,4,46,162,98
1958,4,5,30,159,92
1959,4,7,23,173,100
1960,4,4,32,156,94
1961,2,4,37,156,101
1962,5,2,27,147,83
1963,8,4,-31,158,75
1964,6,4,11,158,88
1965,5,2,22,148,86
1966,5,4,30,161,93
1967,3,6,42,163,99
1968,5,5,23,161,94
1969,6,7,16,174,95
1970,6,5,1,157,87
1971,6,5,28,161,94
1972,4,4,32,154,90
1973,4,6,30,169,94
1974,4,4,42,155,92
1975,2,8,55,176,102
1976,4,8,35,184,100
1977,3,4,32,159,96
1978,3,3,30,152,93
1979,7,3,-8,155,83
1980,4,5,35,159,95
1981,4,5,26,158,94
1982,6,7,11,176,96
1983,3,8,35,182,102
1984,4,5,31,159,92
1985,7,5,2,157,89
1986,6,5,15,164,86
1987,6,4,15,156,90
1988,2,5,50,158,102
1989,1,7,56,170,110
1990,1,6,60,168,109
1991,5,6,22,166,96
1992,3,8,38,178,103
1993,3,4,37,157,100
1994,4,9,39,180,99
1995,3,8,52,182,112
1996,7,5,-1,164,85
1997,6,8,19,180,98
1998,2,5,54,162,107
1999,4,8,43,172,106
2000,2,      ,50,163,108
